education,total_records,high_income_count,high_income_rate
Prof-school,834,617,73.98081534772182
Doctorate,594,431,72.55892255892256
Masters,2657,1459,54.91155438464433
Bachelors,8025,3313,41.283489096573206
Assoc-acdm,1601,413,25.79637726420987
Assoc-voc,2061,522,25.327510917030565
Some-college,10878,2063,18.964883250597538
HS-grad,15784,2503,15.857830714647744
12th,657,48,7.30593607305936
7th-8th,955,62,6.492146596858639
10th,1389,87,6.263498920086392
9th,756,41,5.423280423280423
5th-6th,509,27,5.304518664047151
11th,1812,92,5.077262693156733
1st-4th,247,8,3.2388663967611335
Preschool,83,1,1.2048192771084338
