occupation,total_records,high_income_count,high_income_rate
Exec-managerial,6086,2908,47.7817942819586
Prof-specialty,6172,2784,45.10693454309786
Armed-Forces,15,5,33.33333333333333
Protective-serv,983,308,31.33265513733469
Tech-support,1446,420,29.045643153526974
Sales,5504,1475,26.79869186046512
Craft-repair,6112,1383,22.62761780104712
Transport-moving,2355,481,20.42462845010616
Adm-clerical,5611,768,13.687399750490108
Machine-op-inspct,3022,372,12.309728656518862
Farming-fishing,1490,173,11.610738255033556
Unknown,2809,265,9.433962264150944
Handlers-cleaners,2072,138,6.660231660231661
Other-service,4923,204,4.143814747105424
Priv-house-serv,242,3,1.2396694214876034
